Company Name,Website,Type/Category,Geographic Coverage,Loan Size Range,Email/Phone,Products,Sectors Served,CITR Accredited,LinkedIn/Twitter,FCA Status,Notes,Source
Big Issue Invest,https://www.bigissueinvest.com,CDFI - Social Enterprise Lending,UK,"£50,000 - £3 million",Contact via website,Loans to charities and social enterprises,"Social enterprises, charities, socially driven businesses",Yes (Big Issue Invest Limited & Trust),@BigIssueInvest,FCA Regulated,Social investment arm of The Big Issue Group,Responsible Finance
Chamber Acorn Fund (Humber),https://www.chamberacornfund.com,CDFI - Commercial Lending,Hull and Humber region,Various,Contact via website,Gap funding for businesses,Established businesses,Yes,N/A,FCA Regulated,Gap funder for financially excluded businesses,Responsible Finance
Cumbria Community Asset and Reinvestment Trust,N/A,CDFI - Commercial Lending,Cumbria,Various,N/A,Business loans,Local businesses,Yes,N/A,FCA Regulated,Regional CDFI,CITR List
Enterprise Loans East Midlands,N/A,CDFI - Commercial Lending,East Midlands,Various,N/A,Business loans,SMEs,Yes,N/A,FCA Regulated,Regional CDFI,CITR List
Key Fund Investments,N/A,CDFI - Commercial Lending,Regional (UK),Various,N/A,Business investment,SMEs,Yes,N/A,FCA Regulated,Investment focused CDFI,CITR List
Industrial Common Ownership Finance (ICOF),https://www.icof.co.uk,CDFI - Co-op/Social Enterprise,UK,Various,Contact via website,Co-operative and social enterprise finance,"Co-operatives, social enterprises",Yes (ICOF Limited & Community Capital),N/A,FCA Regulated,Specialist in co-operative finance,CITR List
Co-operative & Community Finance,https://coopfinance.coop,CDFI - Co-op Specialist,UK,Various,Contact via website,Loans for co-operatives and social enterprises,"Co-operatives, social enterprises",No (but RF member),@coop_finance,FCA Regulated,Exclusively serves co-op and social enterprise sector,Responsible Finance
Kindred LCR CIC,N/A,CDFI - Commercial Lending,Regional,Various,N/A,Business finance,Local businesses,Yes,N/A,FCA Regulated,CIC structure,CITR List
Purple Shoots,N/A,CDFI - Commercial Lending,Regional (UK),Various,N/A,Business finance,SMEs,Yes,N/A,FCA Regulated,CDFI for SMEs,CITR List
Resonance Enterprise Growth Investment CIC,N/A,CDFI - Social Enterprise,UK,Various,N/A,Social enterprise investment,Social enterprises,Yes,N/A,FCA Regulated,"CIC structure, enterprise growth focus",CITR List
Saltend Community Development Company,N/A,CDFI - Community Development,Regional,Various,N/A,Community development finance,Local community businesses,Yes,N/A,FCA Regulated,Community focused,CITR List
Seedar Finance,N/A,CDFI - Commercial Lending,Regional (UK),Various,N/A,Business finance,SMEs,Yes,N/A,FCA Regulated,SME focused CDFI,CITR List
Social Investment Business Foundation,https://www.sibgroup.org.uk,CDFI - Social Investment,UK,£100k - £1.5m+,Contact via website,"Community Builders Fund, Energy Resilience Fund, Flexible Finance","Social enterprises, charities, community groups",Yes,N/A,FCA Regulated,Offers grants and loans,CITR List
Ulster Community Investment Trust,N/A,CDFI - Commercial Lending,Northern Ireland,Various,N/A,Business loans,SMEs in Northern Ireland,Yes,N/A,FCA Regulated,Northern Ireland focused CDFI,CITR List
The Enterprise Fund (GC Business Finance),N/A,CDFI - Commercial Lending,Regional (UK),Various,N/A,Business finance,SMEs,Yes,N/A,FCA Regulated,Trading as GC Business Finance,CITR List
Energising Education,N/A,CDFI - Education Sector,UK,Various,N/A,Education sector finance,Education institutions,Yes,N/A,FCA Regulated,Specialist education CDFI,CITR List
Artshare (SHARE Limited),N/A,CDFI - Social/Arts,Regional (UK),Various,N/A,Social enterprise finance,Social enterprises,Yes,N/A,FCA Regulated,Social Help Association for Reinvesting in Enterprise,CITR List
Business Finance North West,https://www.financenw.org,CDFI - Commercial Lending,North West England,"£500 - £250,000",Contact via website,"Start Up Loans, Small Business Loans",Businesses in North West,Likely (RF member),N/A,FCA Regulated,"Focus on North West, Lancashire, Cumbria",RF Member
Development Bank of Wales,https://developmentbank.wales,Development Bank (CDFI-like),Wales,"£1,000 - £6 million",0203 514 3044,Business loans and equity investments,All sectors in Wales,No (Dev Bank),LinkedIn,FCA Regulated,National development bank for Wales,Web Search
ALTERNATIVE LENDERS - UK COMMERCIAL BUSINESS LENDING,,,,,,,,,,,,
Funding Circle,https://www.fundingcircle.com/uk/,P2P / Fintech Lender,UK (National),"£10,000 - £750,000",Apply online,"Business loans, FlexiPay line of credit, Business credit cards, Asset finance, Growth Guarantee Scheme",All sectors - SMEs,No,"LinkedIn, Twitter",FCA Regulated,"£16bn lent to 110,000+ businesses since 2010, market leader",Exa Search
Folk2Folk,https://folk2folk.com/,P2P Lender,UK (focus on property/land),Various,Contact via website,"Business loans, property finance","Property, land, business",No,LinkedIn,FCA Regulated,UK's largest P2P lender to business borrowers,Exa Search
Assetz Capital,https://www.assetzcapital.co.uk,P2P / Alternative Lender,UK (National),Various,Contact via website,"Business loans, property finance","SMEs, property",No,LinkedIn,FCA Regulated,Established P2P platform,Capitalise
ThinCats,https://www.thincats.com,P2P Business Lender,UK (National),£50k - £3m+,Contact via website,"Business loans, growth finance",Established SMEs,No,LinkedIn,FCA Regulated,Specialist in SME lending,Web Research
Crowd2Fund,https://www.crowd2fund.com,P2P / Crowdfunding,UK (National),Various,Contact via website,"Business loans, equity crowdfunding","SMEs, startups",No,"LinkedIn, Twitter",FCA Regulated,Equity and debt crowdfunding platform,Capitalise
iwoca,https://www.iwoca.co.uk,Fintech Lender,UK (National),"£1,000 - £500,000",Apply online,"Flexi-Loan, Business credit cards",All sectors - SMEs,No,@iwoca,FCA Regulated,"Leading UK fintech lender, fast online application","Capitalise, Exa"
Fleximize,https://www.fleximize.com,Fintech Lender,UK (National),"£5,000 - £500,000",Apply online,"Business loans, revenue-based finance",SMEs,No,@Fleximize,FCA Regulated,Flexible online business lending,Capitalise
MarketFinance (formerly Market Invoice),https://www.marketfinance.com,Fintech Lender,"UK, Europe","£10,000 - £5m",Apply online,"Invoice finance, business loans, revenue finance",SMEs with invoices/recurring revenue,No,@MarketFinance,FCA Regulated,Leading alternative finance platform,Exa Search
Capitalise,https://www.capitalise.com,Finance Marketplace,UK (National),Various,Apply online,Marketplace connecting to 100+ lenders,All sectors,No,@CapitaliseUK,Not lender - broker,Connects businesses to 100+ lenders,"Exa Search, Capitalise"
Funding Options,https://www.fundingoptions.com,Finance Marketplace,UK (National),Various,Apply online,Marketplace connecting to 50+ lenders,All sectors,No,@FundingOptions,Not lender - broker,Finance matching platform,Exa Search
Allica Bank,https://www.allica.bank,Digital Bank,UK (National),Up to £5m,Apply online,"Business loans, commercial mortgages",Established SMEs,No,@AllicaBank,FCA Regulated (Bank),Digital bank for established businesses,Capitalise
OakNorth Bank,https://www.oaknorth.co.uk,Digital Bank,UK (National),£500k - £50m,Apply online/relationship,"Business loans, commercial mortgages, property finance","Growth businesses, property",No,@OakNorth,FCA Regulated (Bank),AI-powered lending for high-growth businesses,Web Research
Metro Bank,https://www.metrobank.co.uk,Challenger Bank,UK (National),Various,Apply online/branches,"Business loans, overdrafts, asset finance",All sectors,No,@Metro_Bank,FCA Regulated (Bank),UK challenger bank,Web Research
Starling Bank,https://www.starlingbank.com,Digital Bank,UK (National),"Up to £250,000",Apply online,"Business loans, overdrafts",SMEs,No,@StarlingBank,FCA Regulated (Bank),Mobile-first business banking,Web Research
Tide,https://www.tide.co/,Fintech Banking,UK (National),Various,Apply online,"Business accounts, cashback cards","SMEs, freelancers",No,@TideBusiness,E-money institution,Digital business banking platform,Web Research
Revolut Business,https://www.revolut.com/business/,Fintech Banking,"UK, Europe",Various,Apply online,"Business accounts, cards, FX","SMEs, startups",No,@RevolutBusiness,E-money/Bank license,Global fintech for business,Web Research
YouLend,https://www.youlend.com,Merchant Cash Advance,"UK, Europe, US","£3,000 - £1m",Apply online,"Merchant cash advance, revenue-based finance","Retailers, e-commerce with card sales",No,@YouLend,FCA Regulated,"£4bn funding from J.P. Morgan, 150k+ advances, partnership with Amazon",Exa Search (MCA)
Liberis,https://www.liberis.com,Merchant Cash Advance,"UK, Europe, US","£1,000 - £1m",Apply online,"Revenue-based financing, merchant cash advance","Retailers, e-commerce",No,@LiberisUK,FCA Regulated,"£500m to 17,000 SMEs, 300+ partnerships, 4.9 Trustpilot",Exa Search (MCA)
365 Finance,https://www.365finance.co.uk,Merchant Cash Advance,UK (National),"£10,000 - £500,000",Apply online,"Revenue-based finance, business cash advance",Card-accepting businesses,No,@365Finance,FCA Regulated,"£375m advanced, 90% approval rate, award-winning",Exa Search (MCA)
Capify,https://www.capify.co.uk,Merchant Cash Advance,"UK, Australia, US","£5,000 - £500,000",Apply online,"Business cash advance, merchant finance",Card sales businesses,No,@Capify_UK,FCA Regulated,"Global MCA provider, established 2004","Exa Search (MCA), Capitalise"
Momenta Finance,https://www.momentafinance.com,Merchant Cash Advance,UK (National),"£30,000 - £150,000",Apply online,Merchant cash advance,Established card businesses,No,N/A,FCA Regulated,"12 months min trading, £30k+ monthly card sales",Exa Search (MCA)
Nucleus Commercial Finance,https://www.nucleuscommercial.com,Merchant Cash Advance,UK (National),"£3,000 - £300,000",Apply online,Business cash advance,Card sales businesses,No,@NucleusComFin,FCA Regulated,4 months min trading,Exa Search (MCA)
Love Finance,https://www.lovefinance.com,Merchant Cash Advance,UK (National),"£5,000 - £250,000",Apply online,"Merchant cash advance, business finance",Card businesses,No,N/A,FCA Regulated,"3 months trading, £2k monthly card sales",Exa Search (MCA)
Bibby Financial Services,https://www.bibbyfinancialservices.com,Invoice Finance,"UK, Europe, Asia",Various,0800 159 6168,"Invoice finance, invoice discounting, asset finance, bad debt protection","300+ industries, 8,500+ businesses",No,@bibbyfs,FCA Regulated,"40+ years, family owned, one of UK's largest independent funders",Exa Search
Hitachi Capital,https://www.hitachicapital.co.uk,Invoice Finance / Asset,UK (National),Various,Contact via website,"Invoice finance, asset finance",All sectors,No,LinkedIn,FCA Regulated,Major global finance provider,Web Research
Close Brothers,https://www.closebrothers.com,Invoice Finance / Asset,UK (National),Various,Contact via website,"Invoice finance, asset finance, business loans",All sectors,No,@CloseBrothers,FCA Regulated,FTSE 250 merchant banking group,Capitalise
Aldermore,https://www.aldermore.co.uk,Invoice & Trade Finance,UK (National),Up to £25m,Contact via website,"Invoice finance, asset finance, trade finance",SMEs,No,@Aldermore,FCA Regulated (Bank),Alternative bank specializing in SMEs,"Exa Search, Capitalise"
Ultimate Finance,https://www.ultimatefinance.co.uk,Invoice & Trade Finance,UK (National),"£25,000 - £1m",Contact via website,"Invoice finance, trade finance, asset finance",UK exporters and SMEs,No,N/A,FCA Regulated,Trade finance £25k-£1m with 120 days credit,Exa Search
IGF Invoice Finance,https://www.igf.co.uk,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, invoice discounting",SMEs,No,LinkedIn,FCA Regulated,Independent invoice finance provider,Capitalise
Just Cashflow,https://www.justcashflow.com,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,@JustCashflow,FCA Regulated,Specialist invoice finance,Capitalise
Invocap,https://www.invocap.co.uk,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, invoice discounting",SMEs,No,LinkedIn,FCA Regulated,Invoice finance specialist,Capitalise
Close Brothers Asset Finance,https://www.closebrothersamf.com,Asset Finance,UK (National),"£1,000 - £5m+",Contact via website,"Asset finance, HP, leasing for vehicles, machinery, equipment",All sectors,No,@CloseBrothers,FCA Regulated,Major UK asset finance provider,Web Research
Lombard (RBS),https://www.lombardassetfinance.com,Asset Finance,UK (National),Various,Contact via website,"Asset finance, leasing, HP",All sectors,No,N/A,FCA Regulated,Part of NatWest Group,Web Research
Hitachi Capital UK,https://www.hitachicapital.co.uk,Asset Finance,UK (National),Various,Contact via website,"Asset finance, vehicle finance, IT finance",All sectors,No,LinkedIn,FCA Regulated,Major equipment finance provider,Web Research
Investec,https://www.investec.com,Asset Finance / Banking,"UK, International",Large tickets,Contact via website,"Asset finance, structured finance, banking","Corporate, HNW",No,@Investec,FCA Regulated (Bank),Specialist bank and asset manager,Capitalise
Catalyst Business Finance,https://www.catalystbf.co.uk,Asset Finance,UK (National),Various,Contact via website,"Asset finance, equipment finance",SMEs,No,LinkedIn,FCA Regulated,Independent asset finance broker,Capitalise
Corporate Asset Solutions,https://www.corporateas.co.uk,Asset Finance,UK (National),Various,Contact via website,"Asset finance, leasing",SMEs,No,LinkedIn,FCA Regulated,Asset finance specialist,Capitalise
Shawbrook Bank,https://www.shawbrook.co.uk,Challenger Bank,UK (National),Various,Contact via website,"Business loans, commercial mortgages, asset finance","SMEs, property",No,@ShawbrookBank,FCA Regulated (Bank),Specialist savings and lending bank,Web Research
Cynergy Bank,https://www.cynergybank.co.uk,Challenger Bank,UK (National),£100k - £3m,Contact via website,"Commercial finance, property finance","SMEs, property investors",No,@CynergyBank,FCA Regulated (Bank),Specialist commercial bank,Web Research
Hampshire Trust Bank,https://www.htb.co.uk,Specialist Bank,UK (National),Various,Contact via website,"Commercial loans, property finance, asset finance","SMEs, property",No,@HTB_UK,FCA Regulated (Bank),Specialist lending bank,Capitalise
Hodge Bank,https://www.hodgebank.co.uk,Specialist Bank,UK (National),Various,Contact via website,"Commercial finance, property loans","SMEs, property",No,@HodgeBank,FCA Regulated (Bank),Family-owned specialist bank,Capitalise
Arbuthnot Latham,https://www.arbuthnot.co.uk,Private Bank,UK (National),£250k+,Relationship banking,"Business banking, commercial finance","HNW, established businesses",No,@ArbuthnothLath,FCA Regulated (Bank),Independent private bank,Capitalise
Clydesdale Bank (Virgin Money),https://www.cbonline.co.uk,Bank,UK (focus Scotland),Various,Branches/online,"Business loans, overdrafts, asset finance",All sectors,No,@CYBG_PLC,FCA Regulated (Bank),Part of Virgin Money UK,Capitalise
Kuflink,https://www.kuflink.co.uk,Bridging & Development,UK (National),£50k - £10m,Apply online,"Bridging loans, development finance, buy-to-let","Property investors, developers",No,@Kuflink,FCA Regulated,P2P property finance platform,Capitalise
Hope Capital,https://www.hopecapital.co.uk,Bridging Finance,UK (National),£50k - £5m,Apply online,"Bridging loans, development finance",Property investors,No,@HopeCapitalUK,FCA Regulated,Specialist bridging lender,Capitalise
Avamore Capital,https://www.avamo.re,Development Finance,UK (National),£500k - £50m,Contact via website,"Development finance, bridging",Property developers,No,@AvamoreCapital,FCA Regulated,Specialist development lender,Capitalise
Blend Network,https://www.blendnetwork.com,Property Finance P2P,UK (National),Various,Apply online,"Development finance, bridging loans via P2P",Property developers,No,@BlendNetwork,FCA Regulated,P2P property lending platform,Web Research
Echo Finance (formerly Glenhawk),https://www.echofinance.co.uk,Bridging Finance,UK (National),Various,Contact via website,"Bridging loans, development finance",Property investors,No,N/A,FCA Regulated,Bridging and development specialist,Exa Search
Growth Lending,https://www.growthlending.com,SME Lender,UK (National),£50k - £2m,Apply online,Business loans for growth,Growth SMEs,No,LinkedIn,FCA Regulated,Growth finance specialist,Capitalise
GapCap,https://www.gapcap.com,SME Lender,UK (National),£50k - £5m,Contact via website,"Business loans, mezzanine finance",Established SMEs,No,@GapCap_UK,FCA Regulated,Gap funding specialist,Capitalise
Got Capital,https://www.gotcapital.co.uk,SME Lender,UK (National),£10k - £250k,Apply online,Unsecured business loans,SMEs,No,N/A,FCA Regulated,Fast unsecured lending,Capitalise
Boost Capital,https://www.boost-capital.co.uk,Finance Broker,UK (National),Various,Contact via website,Broker - access to multiple lenders,All sectors,No,LinkedIn,Not lender - broker,Finance brokerage,Capitalise
Credit4,https://www.credit4.co.uk,Finance Broker,UK (National),Various,Contact via website,Broker - business finance solutions,All sectors,No,LinkedIn,Not lender - broker,Finance brokerage,Capitalise
FGI Finance,https://www.fgifinance.co.uk,Asset Finance Broker,UK (National),Various,Contact via website,Asset finance brokerage,SMEs,No,LinkedIn,Not lender - broker,Asset finance broker,Capitalise
Fiduciam,https://www.fiduciam.com,Finance Broker,UK (National),Various,Contact via website,Business finance brokerage,SMEs,No,LinkedIn,Not lender - broker,Finance consultancy and brokerage,Capitalise
Haydock Finance,https://www.haydockfinance.co.uk,Asset Finance,UK (National),Various,Contact via website,"Asset finance, vehicle finance",SMEs,No,LinkedIn,FCA Regulated,Independent asset finance,Capitalise
Hydr (formerly Ebury),https://www.hydr.com,FX & Trade Finance,"UK, International",Various,Apply online,"FX, international payments, trade finance",Businesses trading internationally,No,@Hydr,FCA Regulated,Fintech for cross-border finance,Capitalise
Caple,https://www.caple.co.uk,Revenue Finance,UK (National),£10k - £2m,Apply online,Revenue-based finance,"SaaS, subscription businesses",No,@Caple_Finance,FCA Regulated,Non-dilutive growth capital for SaaS,Capitalise
Capital on Tap,https://www.capitalontap.com,Business Credit Cards,"UK, US","Up to £250,000",Apply online,Business credit cards,SMEs,No,@CapitalOnTap,FCA Regulated,Leading business credit card provider,Capitalise
Cubefunder,https://www.cubefunder.com,Fintech Lender,UK (National),Various,Apply online,Business loans,SMEs,No,N/A,FCA Regulated,Online business lending,Capitalise
Infund,https://www.infund.co.uk,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,LinkedIn,FCA Regulated,Invoice finance provider,Capitalise
Iron Bridge Finance,https://www.ironbridgefinance.co.uk,Development Finance,UK (National),Various,Contact via website,"Development finance, bridging",Property developers,No,LinkedIn,FCA Regulated,Property finance specialist,Capitalise
Blazehill Capital,https://www.blazehillcapital.com,Development Finance,UK (National),Various,Contact via website,Development finance,Property developers,No,LinkedIn,FCA Regulated,Development finance specialist,Capitalise
Breal Zeta CF,https://www.breal.co.uk,Development Finance,UK (National),Various,Contact via website,"Development finance, bridging",Property,No,LinkedIn,FCA Regulated,Property finance,Capitalise
Creative Capital,https://www.creativecapital.co.uk,Asset Finance,UK (National),Various,Contact via website,Asset finance,SMEs,No,LinkedIn,FCA Regulated,Asset finance provider,Capitalise
Barclays (Trade & Working Capital),https://www.barclayscorporate.com,Major Bank,"UK, International",Various,Relationship banking,"Trade finance, export finance, working capital","Corporate, SMEs",No,@Barclays,FCA Regulated (Bank),"Award-winning trade finance team, iPortal platform",Exa Search
HSBC UK (Trade Finance),https://www.hsbc.co.uk/business,Major Bank,"UK, International",Various,Relationship banking,"Export invoice finance, import/export loans, trade finance",International traders,No,@HSBC_UK,FCA Regulated (Bank),Global trade expertise in 200+ countries,Exa Search
NatWest (Trade Finance),https://www.natwest.com/business,Major Bank,UK (National),Various,Relationship banking,"Trade loans, trade discounting, supplier chain finance","Exporters, importers",No,@NatWest_Help,FCA Regulated (Bank),Dedicated export trade specialists,Exa Search
Santander UK (Trade Finance),https://www.santander.co.uk/business,Major Bank,"UK, International",Various,Relationship banking,"Trade finance solutions, letters of credit",International traders,No,@santanderukhelp,FCA Regulated (Bank),Dedicated trade finance team,Exa Search
Royal Bank of Scotland (Trade),https://www.rbs.co.uk/business,Major Bank,UK (focus Scotland),Various,Relationship banking,"Export finance, trade loans, trade discounting",Exporters,No,@RBS_Help,FCA Regulated (Bank),Part of NatWest Group,Exa Search
Ulster Bank (Trade Finance),https://digital.ulsterbank.co.uk/business,Major Bank,"Northern Ireland, ROI",Various,Relationship banking,"Global trade finance, letters of credit, bonds",International traders,No,@UlsterBank_Help,FCA Regulated (Bank),Market-leading online trade platform,Exa Search
Lloyds Bank (Trade Finance),https://www.lloydsbank.com/business,Major Bank,UK (National),Various,Relationship banking,"Trade finance, export finance","Exporters, importers",No,@AskLloydsBank,FCA Regulated (Bank),Major UK bank trade division,Web Research
British Business Bank,https://www.british-business-bank.co.uk,Development Bank,UK (National),Via partners,Via accredited lenders,"Start Up Loans, Recovery Loan Scheme, ENABLE guarantees","SMEs, startups",No,@BritishBBank,Government-owned,"State-owned economic development bank, £10bn+ deployed",Web Research
UK Export Finance (UKEF),https://www.ukexportfinance.gov.uk,Export Credit Agency,UK (National),£1m - £200m+,Via banks or direct,"Export working capital, buyer credit, export insurance, bonds",UK exporters of all sizes,No,@UKEF,Government department,"£8.8bn support in 2023-24, general export facility up to £25m",Exa Search
4Syte,https://www.4sytefunding.co.uk,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, invoice discounting, construction finance","All sectors, construction",No,N/A,FCA Regulated,Includes 4Syte Funding and 4Syte Construction,FundInvoice List
Accelerated Payments,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Accident Credit Group,https://www.accidentcreditgroup.com,Invoice Finance,UK (National),Various,Contact via website,Invoice finance for accident repair,"Body shops, accident repair",No,N/A,FCA Regulated,Specialist in accident repair sector,FundInvoice List
AIB Commercial Finance,https://aib.co.uk/commercial-finance,Invoice Finance,"UK, Ireland",Various,Contact via website,"Invoice finance, asset based lending",SMEs,No,@AIBGB,FCA Regulated,Part of AIB Group,FundInvoice List
Aldermore Bank,https://www.aldermore.co.uk,Invoice Finance / Bank,UK (National),Up to £25m,Contact via website,"Invoice finance, asset finance, trade finance",SMEs,No,@Aldermore,FCA Regulated (Bank),Alternative bank specializing in SMEs,FundInvoice List
Arbuthnot Commercial ABL,https://www.arbuthnotlatham.co.uk,Asset Based Lending,UK (National),£250k+,Contact via website,"Asset based lending, invoice finance",Mid-market businesses,No,@ArbuthnothLath,FCA Regulated,"Launched 26/02/18, part of Arbuthnot Banking Group",FundInvoice List
Bank of Ireland Commercial Finance,https://www.bankofireland.com/business/,Invoice Finance,"UK, Ireland",Various,Contact via website,"Invoice finance, asset based lending","SMEs, corporates",No,@talktoBOI,FCA Regulated,Belfast & Dublin operations,FundInvoice List
Barclays Trade & Working Capital,https://www.barclayscorporate.com,Invoice Finance / Bank,"UK, International",Various,Relationship banking,"Invoice finance, asset based lending, trade finance","Corporate, SMEs",No,@Barclays,FCA Regulated (Bank),"Formerly Barclays Commercial Services, award-winning",FundInvoice List
Berkeley Trade Finance,https://www.berkeleytf.com,Trade Finance,UK (National),Various,Contact via website,"Trade finance, invoice finance","Exporters, importers",No,LinkedIn,FCA Regulated,Launched May 2019,FundInvoice List
Bibby Financial Services,https://www.bibbyfinancialservices.com,Invoice Finance,"UK, Europe, Asia",Various,0800 159 6168,"Invoice finance, invoice discounting, asset finance, bad debt protection","300+ industries, 8,500+ businesses",No,@bibbyfs,FCA Regulated,"40+ years, family owned, one of UK's largest independent, multiple entities",FundInvoice List
BNP Paribas Commercial Finance,https://www.bnpparibas.co.uk,Invoice Finance,"UK, International",Large tickets,Contact via website,"Invoice finance, asset based lending","Corporate, large SMEs",No,@BNPParibas_UK,FCA Regulated,Now includes Fortis Commercial Finance,FundInvoice List
Cashbook Finance,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Cash Direct UK,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Castlebridge Finance,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Acquired Castle Business Finance (now in admin),FundInvoice List
Channel Capital Advisors,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance advisory,SMEs,No,N/A,FCA Regulated,Invoice finance advisors,FundInvoice List
Close Brothers Invoice Finance,https://www.closeinvoice.co.uk,Invoice Finance,UK (National),£750k+ turnover min,0127 305 9530,"Invoice discounting, factoring, asset based lending, bad debt protection","All sectors, min £750k turnover",No,@CloseBrothers,FCA Regulated,"Award-winning 12 consecutive years, part of Close Brothers Group, 2,000+ clients","FundInvoice List, Expert Market #9"
Convenient Capital,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Convertibill,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Creative Capital,https://www.creativecapital.co.uk,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, asset finance",SMEs,No,LinkedIn,FCA Regulated,Invoice and asset finance provider,FundInvoice List
Danske Bank,https://danskebank.co.uk/business,Invoice Finance / Bank,"UK, Northern Ireland",Various,Contact via website,"Invoice finance, asset finance","SMEs, corporates",No,@DanskeBankUK,FCA Regulated (Bank),Danish bank with UK operations,FundInvoice List
eCapital Commercial Finance,https://www.ecapital.com,Invoice Finance,"UK, US, Canada",Various,Contact via website,"Invoice finance, asset based lending","SMEs, mid-market",No,@eCapitalCorp,FCA Regulated,"Formerly Advantedge/Factor21, acquired Optimum Finance Oct 2024, includes Henry Howard Cashflow",FundInvoice List
Fair Finance,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
